Hour,DryBulb,DewPnt,target_variable,Humidity
1,37,25,827,87.5
2,37,25,798,88
3,39,24,778,88
4,38,22,778,88
5,37,20,770,88
6,36,19,770,88
7,35,20,891,89
8,35,20,1023,90
9,35,21,1055,90
10,37,21,1034,90
11,38,22,996,88.5
12,39,22,975,87
13,40,22,960,83.99999999
14,40,22,951,80.99999996
15,40,22,965,73.5
16,40,22,973,66
17,38,22,1115,48.49999995
18,36,22,1120,31
19,35,22,1209,26.99999999
20,35,22,1135,22.99999999
21,34,22,1074,22
22,33,22,1031,21
23,32,23,897,20
24,31,23,820,19
1,30,22,1407,18
2,29,22,1393,17
3,28,22,1395,16.5
4,28,22,1342,16
5,28,23,1364,16
6,29,24,1315,16
7,30,25,1289,15.5
8,30,25,1299,15
9,30,26,1419,15.5
10,30,27,1440,16
11,31,29,1435,16.5
12,31,30,1476,17
13,32,30,1484,20.00000001
14,33,31,1526,23.00000001
15,33,31,1689,25.5
16,33,31,1593,28
17,33,32,1527,48.50000006
18,33,32,1712,69
19,34,32,1746,72.00000001
20,33,32,1578,75
21,33,32,1616,75.5
22,32,31,1667,76
23,32,31,1523,76
24,32,31,1297,76
1,33,32,1402,74.5
2,33,32,1453,73.00000002
3,33,31,1434,76.5
4,33,32,1445,80
5,33,32,1392,79.5
6,33,32,1523,79
7,33,32,1362,80.5
8,33,33,1459,82.00000002
9,33,33,1561,85
10,34,33,1533,88
11,35,34,1578,90.00000001
12,35,34,1584,92
13,36,35,1690,91
14,38,37,1766,90
15,39,38,1607,89.5
16,40,39,1688,89
17,40,39,1692,88
18,40,40,1694,87
19,41,40,1626,85.5
20,41,40,1814,84
21,40,39,1765,84.5
22,40,40,1732,85
23,41,40,1529,80.49999999
24,41,40,1526,76
1,42,41,1612,75.5
2,42,41,1521,74.99999999
3,42,41,1485,74
4,43,41,1483,73
5,43,41,1443,75.00000001
6,43,40,1439,77
7,43,40,1418,75.5
8,43,39,1364,74
9,43,38,1421,74.5
10,44,40,1372,75
11,46,38,1347,76
12,46,37,1274,77
13,46,35,1339,78.5
14,45,34,1466,80
15,43,34,1471,80
16,41,35,1419,80
17,40,34,1374,80.5
18,39,33,1492,81
19,39,33,1556,82.5
20,38,32,1645,84.00000001
21,37,32,1575,85
22,37,32,1554,86
23,36,31,1495,86.5
24,35,31,1491,87
1,34,30,1307,87.5
2,33,29,1312,88
3,32,29,1309,88.5
4,32,29,1387,89
5,31,29,1379,89.5
6,31,29,1430,90
7,31,28,1315,89.5
8,31,29,1304,89
9,31,28,1497,89.5
10,31,28,1632,90
11,31,28,1496,91
12,32,28,1528,92
13,31,29,1565,89.99999999
14,31,29,1506,87.99999997
15,32,29,1586,83.5
16,32,30,1550,79
17,32,30,1541,70.49999998
18,32,30,1590,62
19,32,30,1655,47.49999996
20,31,30,1748,33
21,31,30,1627,33
22,31,30,1693,33
23,31,30,1614,36.00000001
24,31,29,1453,39
1,31,29,1413,44.50000002
2,30,28,1385,50.00000001
3,30,26,1408,52.5
4,29,24,1529,55
5,29,23,1571,56.5
6,28,22,1465,58
7,28,21,1419,60.00000001
8,27,20,1458,62.00000001
9,27,21,1470,63.5
10,28,21,1523,65
11,29,20,1591,66.5
12,30,21,1531,68
13,31,21,1524,69.5
14,32,20,1623,71
15,33,19,1501,71
16,32,19,1642,71
17,31,19,1535,71.5
18,30,18,1752,72
19,28,20,1461,73
20,26,17,1760,74
21,24,10,1665,73.5
22,22,9,1698,73
23,21,8,1306,73
24,19,6,1369,73
1,18,5,1559,73
2,17,5,1563,73
3,16,4,1736,73
4,16,4,1576,73
5,15,4,1506,73.5
6,15,4,1497,74
7,14,4,1543,73.5
8,14,4,1555,73
9,14,3,1517,72.5
10,16,2,1648,72
11,17,2,1517,72
12,19,2,1754,72
13,20,2,1642,69.49999999
14,19,2,1800,67
15,19,5,1710,67.5
16,20,4,1880,68
17,19,5,1676,68.5
18,18,5,1799,69
19,18,5,1784,70.5
20,18,5,2046,72
21,18,5,1693,71.5
22,17,4,1916,71
23,17,4,1811,71.5
24,16,3,1778,72
1,15,0,1748,72.5
2,14,1,1639,73
3,13,0,1539,73
4,12,-1,1590,73
5,11,-2,1588,72.5
6,11,-4,1563,72
7,10,-5,1581,71
8,9,-4,1631,70
9,9,-5,1564,70
10,10,-6,1662,70
11,12,-6,1653,69.5
12,14,-5,1689,69
13,16,-4,1728,69.5
14,17,-4,1792,70.00000001
15,18,-3,1767,71
16,17,-3,1853,72
17,17,-2,1809,72.5
18,14,-2,1913,73
19,13,-2,1742,73.5
20,12,-2,2152,74.00000001
21,11,-2,1762,75.5
22,10,-2,1854,77
23,9,-1,1833,80.50000001
24,9,-1,1764,84
1,8,-3,1413,86.00000001
2,6,-5,1385,88.00000001
3,6,-6,1408,90.5
4,5,-8,1529,93
5,3,-8,1571,93
6,2,-9,1465,93
7,1,-10,1419,94
8,0,-11,1458,95
9,0,-13,1470,95
10,0,-15,1523,95
11,1,-16,1591,95.5
12,2,-17,1531,96
13,4,-16,1524,94.5
14,5,-15,1623,92.99999999
15,6,-15,1501,92
16,7,-14,1642,91
17,6,-14,1535,88.99999999
18,4,-14,1752,87
19,3,-14,1461,81.49999998
20,2,-14,1760,76.00000002
21,1,-14,1665,79.5
22,1,-15,1698,83
23,0,-15,1306,83
24,-1,-15,1369,83
1,-2,-16,1559,83.5
2,-2,-16,1563,84.00000001
3,-3,-15,1736,86.5
4,-3,-15,1576,89
5,-4,-15,1506,90
6,-4,-15,1497,91
7,-4,-15,1543,91.5
8,-5,-15,1555,92.00000001
9,-4,-15,1517,93
10,-2,-15,1648,94
11,1,-14,1517,93.5
12,4,-14,1754,93
13,6,-13,1642,93
14,8,-13,1800,93.00000001
15,10,-12,1710,94
16,10,-13,1880,95
17,9,-14,1676,95.5
18,7,-13,1799,96
19,6,-13,1784,96
20,4,-14,2046,96
21,3,-14,1693,95.5
22,3,-14,1916,95
23,2,-13,1811,94
24,2,-13,1778,93
1,1,-14,1748,95.50000001
2,1,-13,1639,98
3,0,-13,1539,98
4,0,-13,1590,98
5,0,-13,1588,98
6,0,-13,1563,98
7,-1,-13,1581,97.5
8,-1,-12,1631,97
9,0,-11,1564,96.5
10,4,-10,1662,96
11,6,-8,1653,91.49999999
12,10,-6,1689,87
13,14,-5,1728,84.99999999
14,16,-4,1792,82.99999999
15,19,-2,1767,80.5
16,20,-2,1853,78
17,20,-1,1809,74.99999999
18,20,0,1913,72
19,20,2,1742,69.49999999
20,21,2,2152,67.00000001
21,21,4,1762,68.5
22,21,5,1854,70
23,22,6,1833,72.50000001
24,23,7,1764,75
1,22,10,1404,72.99999999
2,22,15,1259,70.99999998
3,22,18,1237,68
4,22,19,1135,65
5,22,20,1147,64.5
6,22,20,1143,64
7,23,20,1157,69.00000001
8,23,19,1161,74
9,23,19,1163,74.5
10,24,20,1240,75
11,25,20,1276,79.00000001
12,26,20,1305,83
13,27,21,1300,83
14,28,22,1306,82.99999999
15,29,22,1390,81.5
16,29,23,1298,80
17,30,23,1320,80.5
18,29,24,1516,81
19,29,24,1501,80.5
20,28,25,1589,80
21,28,25,1588,80.5
22,28,25,1591,81
23,28,24,1510,85.50000001
24,28,24,1425,90
1,27,22,1342,91.5
2,26,22,1268,93
3,27,21,1231,93
4,26,21,1253,93
5,25,20,1222,93
6,25,19,1194,93
7,25,20,1218,91.5
8,26,21,1162,89.99999999
9,27,22,1216,88
10,29,24,1242,86
11,31,26,1270,83.49999999
12,33,27,1272,81
13,35,28,1254,76.99999999
14,36,28,1340,72.99999999
15,36,29,1308,72
16,33,25,1225,71
17,30,18,1221,70
18,27,10,1363,69
19,22,3,1418,65.99999999
20,19,-1,1446,63
21,16,-3,1510,63.5
22,13,-3,1407,64
23,10,-9,1340,63
24,8,-11,1242,62
1,6,-14,1130,62.5
2,3,-16,1130,62.99999999
3,2,-18,1070,61
4,0,-19,1044,59
5,-2,-20,1104,61.50000001
6,-3,-21,1104,64
7,-4,-22,1104,61.49999999
8,-5,-22,1104,59.00000001
9,-5,-23,1104,60.5
10,-4,-23,1104,62
11,-2,-21,1104,66.50000001
12,0,-20,1104,71
13,2,-20,1104,76.50000002
14,3,-19,1104,82.00000003
15,4,-18,1104,86.5
16,4,-18,1104,91
17,4,-19,1104,90
18,4,-18,1224,89
19,3,-18,1164,81.99999998
20,3,-18,1164,75
21,2,-17,1164,75.5
22,2,-15,1164,76
23,2,-11,1010,77.5
24,1,-8,1010,79
1,1,-7,1427,80.5
2,1,-7,1271,82.00000001
3,1,-6,1312,83.5
4,0,-7,1176,85
5,0,-8,1176,83.5
6,-1,-8,1147,82
7,-2,-9,1046,82
8,-1,-10,1046,82
9,-2,-11,1066,82.5
10,-1,-12,1094,83
11,0,-12,1126,81.5
12,2,-13,1151,80
13,4,-12,1116,77.49999999
14,5,-13,1144,74.99999999
15,5,-14,1176,73
16,5,-15,1118,71
17,4,-17,1177,67.99999999
18,1,-19,1338,65
19,-1,-20,1365,62.99999999
20,-2,-19,1376,60.99999999
21,-3,-20,1393,60
22,-4,-21,1344,59
23,-6,-23,1298,58.5
24,-7,-23,1262,58
1,-7,-24,1191,59
2,-7,-22,1182,60.00000001
3,-6,-21,1141,61.5
4,-7,-21,1123,63
5,-7,-21,1093,63
6,-6,-21,1160,63
7,-7,-21,1089,64
8,-7,-20,946,65.00000001
9,-6,-20,944,66.5
10,-3,-18,948,68
11,0,-15,986,68
12,3,-13,1000,68
13,6,-11,993,69.5
14,9,-8,1016,71.00000001
15,11,-7,1049,72
16,12,-6,1049,73
17,11,-5,1200,72.5
18,10,-5,1163,72
19,10,-4,1276,72
20,10,-4,1375,72
21,10,-3,1255,72.5
22,10,-2,1264,73
23,10,-2,1250,76.00000001
24,10,-2,1235,79
1,11,-1,1258,79
2,11,-1,1185,79.00000001
3,12,0,1169,80
4,12,1,1075,81
5,12,1,779,82.5
6,12,2,856,84
7,12,2,845,85
8,14,3,984,86.00000001
9,15,3,990,88.5
10,18,4,1015,91
11,21,5,975,93.00000001
12,25,6,976,95
13,27,6,997,95
14,30,6,1003,94.99999999
15,31,7,972,92.5
16,32,7,1007,90
17,31,7,1035,87.99999999
18,29,7,1181,86
19,27,8,1198,82.49999999
20,27,8,1225,78.99999998
21,25,8,1200,75.5
22,25,9,1170,72
23,25,10,1133,68.49999999
24,26,11,1075,65
1,25,11,1030,66.5
2,26,12,1021,67.99999999
3,25,13,1001,66
4,26,15,995,64
5,26,17,990,64.5
6,26,18,975,65
7,26,20,925,71.50000002
8,27,22,943,77.99999999
9,28,25,955,76
10,29,27,1027,74
11,30,28,1013,76.50000001
12,30,29,1057,79
13,31,29,1017,81.50000001
14,31,29,1006,84.00000001
15,31,29,1016,86
16,31,29,1056,88
17,31,29,1063,88
18,30,29,1251,88
19,30,27,1285,89
20,30,26,1294,90
21,28,23,1192,90
22,27,21,1184,90
23,26,19,1177,90
24,25,17,1107,90
1,24,16,1080,90.5
2,24,15,1048,91
3,22,14,1030,91.5
4,21,12,1027,92
5,20,11,1027,92.5
6,20,10,1023,93
7,20,9,990,93
8,19,7,1022,93
9,19,7,1062,93
10,19,6,1110,93
11,21,6,1126,90.99999999
12,21,6,1123,89
13,23,6,1114,86.49999999
14,22,6,1120,83.99999999
15,23,5,1091,81.5
16,22,5,1102,79
17,21,4,1118,76.49999999
18,19,3,1216,74
19,18,3,1276,71.49999999
20,17,4,1311,69.00000001
21,17,3,1320,70.5
22,16,4,1250,72
23,16,4,1215,69.49999999
24,15,4,1163,67
1,15,3,1150,70.50000001
2,15,3,1096,74
3,15,3,1077,74
4,15,3,1067,74
5,14,3,1066,74
6,14,3,1009,74
7,14,2,971,75.5
8,13,2,992,76.99999999
9,14,2,1030,74.5
10,16,2,1021,72
11,17,2,1075,75.00000001
12,19,2,1035,78
13,20,2,1014,81.00000001
14,21,3,1021,84.00000001
15,22,3,1046,85
16,22,3,1043,86
17,21,3,1077,86
18,19,3,1246,86
19,18,3,1311,87
20,17,3,1327,88
21,17,3,1307,87.5
22,17,1,1219,87
23,16,1,1197,86.5
24,15,1,1171,86
1,14,1,1258,87.5
2,14,1,1185,89
3,13,1,1169,89.5
4,13,1,1075,90
5,13,1,779,89
6,12,1,856,88
7,12,1,845,88
8,12,1,984,87.99999999
9,14,2,990,87
10,15,2,1015,86
11,18,2,975,85
12,20,3,976,84
13,22,4,997,79.99999999
14,24,5,1003,75.99999996
15,25,5,972,69.5
16,25,5,1007,63
17,25,5,1035,54.99999998
18,23,5,1181,47
19,21,4,1198,55.00000002
20,19,4,1225,63
21,18,3,1200,63
22,17,3,1170,63
23,15,3,1133,61.5
24,14,3,1075,60
1,13,3,1061,61.5
2,14,4,987,63.00000004
3,14,5,1007,69.5
4,16,5,992,76
5,16,6,1017,71.49999999
6,17,7,1089,67
7,18,8,1088,71.00000001
8,19,8,1081,75.00000002
9,19,9,1191,78.5
10,21,10,1170,82
11,23,11,1173,79.49999999
12,25,13,1176,77
13,28,15,1160,83.00000002
14,30,17,1182,89.00000002
15,32,19,1193,92
16,33,20,1141,95
17,32,20,1183,94
18,31,22,1333,93
19,29,20,1356,93
20,27,15,1392,93.00000001
21,26,10,1318,94
22,24,7,1267,95
23,22,6,1204,94.5
24,20,2,1169,94
1,18,0,1136,93.5
2,16,-1,1045,93
3,15,-2,1074,93
4,14,-2,1094,93
5,13,-2,1084,92
6,12,-2,1082,91
7,11,-3,1090,93.00000001
8,10,-3,1155,94.99999999
9,11,-3,1128,94
10,13,-3,1160,93
11,14,-3,1171,93
12,15,-3,1178,93
13,16,-3,1119,92.5
14,17,-4,1225,91.99999998
15,17,-5,1189,89
16,17,-5,1173,86
17,15,-5,1194,85.5
18,13,-5,1322,85
19,13,-6,1337,83.5
20,11,-6,1371,82
21,10,-6,1335,82
22,9,-7,1340,82
23,9,-6,1200,82.5
24,8,-6,1140,83
1,7,-6,1074,79.99999999
2,6,-6,1004,76.99999999
3,6,-7,1003,75
4,5,-6,1012,73
5,5,-5,1048,70.99999999
6,5,-4,1069,69
7,5,-4,1105,69.5
8,5,-4,1100,70.00000002
9,6,-4,1088,73
10,8,-4,1122,76
11,10,-4,1189,77.5
12,12,-6,1170,79
13,13,-8,1193,80.5
14,15,-10,1230,82
15,15,-11,1245,82.5
16,15,-13,1264,83
17,13,-14,1259,84.5
18,11,-14,1284,86
19,9,-14,1253,86.5
20,8,-14,1407,87
21,6,-13,1369,87.5
22,6,-13,1277,88
23,4,-12,1218,88
24,3,-14,1155,88
1,2,-15,1136,88.5
2,1,-15,1090,89
3,0,-15,1083,89
4,-1,-16,1098,89
5,-1,-16,1075,89.5
6,-1,-16,1043,90
7,-2,-17,1048,90
8,-2,-18,1098,90
9,-2,-18,1148,90
10,0,-17,1128,90
11,3,-17,1138,89
12,6,-16,1102,88
13,9,-15,1086,86.5
14,11,-15,1121,84.99999999
15,13,-15,1140,83
16,14,-14,1114,81
17,14,-15,1173,83.00000001
18,11,-14,1237,85
19,10,-14,1309,85
20,9,-13,1353,84.99999997
21,8,-13,1234,80.5
22,7,-12,1252,76
23,6,-11,1127,75
24,6,-11,1049,74
1,5,-11,1045,73
2,5,-11,958,72.00000001
3,5,-11,961,74
4,4,-12,1012,76
5,4,-12,975,81.50000002
6,4,-12,1114,87
7,4,-11,1085,84.99999999
8,4,-12,1038,82.99999998
9,3,-13,1075,79
10,5,-13,1058,75
11,8,-12,1154,74.5
12,11,-11,1232,74
13,13,-11,1140,74.5
14,14,-11,1093,75
15,16,-10,1163,75.5
16,16,-9,1169,76
17,16,-9,1128,77.5
18,16,-8,1248,79
19,16,-8,1291,80.5
20,15,-7,1295,81.99999999
21,15,-9,1241,81
22,14,-8,1286,80
23,14,-8,1107,83.50000001
24,13,-8,1095,87
1,13,-8,1035,89.50000001
2,12,-7,970,92
3,11,-8,991,92.5
4,10,-8,958,93
5,10,-8,970,93.5
6,10,-9,1029,94
7,10,-8,931,93.5
8,10,-7,995,93
9,11,-7,978,93
10,13,-7,977,93
11,15,-7,995,93
12,17,-7,1017,93
13,18,-6,1013,93
14,19,-5,990,92.99999999
15,20,-4,1065,90.5
16,20,-3,1043,88
17,20,-3,1087,84.99999999
18,20,-2,1085,82
19,20,-2,1235,77.49999999
20,20,-2,1241,73
21,20,-1,1222,72.5
22,20,-1,1155,72
23,20,0,1047,69.49999999
24,20,-1,976,67
1,19,4,875,70.50000001
2,19,5,846,73.99999999
3,20,6,835,72
4,19,10,876,70
5,19,9,918,69
6,19,10,1026,68
7,19,10,984,71.00000001
8,19,11,1006,74
9,20,12,1014,73.5
10,20,14,1062,73
11,20,16,1030,73.5
12,21,17,1070,74
13,22,18,1049,77.00000001
14,24,19,1051,80.00000001
15,25,19,1110,81.5
16,25,20,1059,83
17,25,21,1112,87.00000001
18,25,20,1188,91
19,25,20,1267,90
20,24,18,1269,89
21,24,17,1237,89.5
22,24,16,1144,90
23,24,15,1024,87.99999999
24,23,14,985,86
1,22,12,936,85
2,21,12,882,83.99999997
3,21,12,883,79.5
4,21,11,901,75
5,21,11,977,72.99999999
6,20,11,1051,71
7,20,11,1032,72.5
8,19,10,1134,73.99999999
9,20,12,1124,73
10,22,11,1190,72
11,23,11,1194,71.5
12,23,9,1146,71
13,23,8,1128,71
14,22,6,1125,70.99999999
15,22,6,1177,70
16,22,4,1196,69
17,21,3,1226,68.5
18,20,1,1267,68
19,19,1,1275,68
20,18,1,1393,68
21,18,1,1272,67.5
22,17,1,1209,67
23,16,1,1130,66
24,15,2,1126,65
1,15,2,943,62.99999999
2,14,2,940,61.00000001
3,14,2,973,62.5
4,14,2,957,64
5,13,2,1001,65.5
6,12,1,1058,67
7,12,1,1063,68
8,12,1,1129,69.00000001
9,12,1,1156,71.5
10,13,2,1160,74
11,16,3,1208,80.50000002
12,19,3,1105,87
13,20,5,1132,87.5
14,22,4,1152,88.00000002
15,23,5,1182,91.5
16,23,5,1156,95
17,21,4,1220,95
18,21,4,1208,95
19,20,5,1271,95.5
20,19,5,1328,96
21,19,5,1218,96
22,17,5,1168,96
23,17,5,1029,96
24,16,5,947,96
1,15,5,842,97
2,15,5,842,98
3,15,4,790,98
4,14,4,831,98
5,14,3,830,97
6,13,3,971,96
7,12,3,1055,97
8,12,4,1073,98
9,13,5,1102,98
10,15,4,1078,98
11,17,3,1133,98
12,19,4,1186,98
13,21,4,1123,97
14,23,5,1182,96
15,23,6,1116,96
16,24,6,1079,96
17,23,6,1116,95
18,22,6,1213,94
19,20,5,1342,91.99999999
20,19,6,1254,89.99999999
21,18,6,1181,89
22,18,5,1068,88
23,17,5,1002,88.5
24,16,5,1020,89
1,16,4,903,84.49999999
2,15,4,827,80.00000001
3,14,3,818,82.5
4,13,2,828,85
5,12,2,867,84
6,13,2,1019,83
7,11,1,963,85.00000001
8,11,2,1007,87.00000001
9,14,4,1052,89.5
10,17,5,1051,92
11,21,7,1074,92.5
12,24,8,1048,93
13,27,9,1019,94
14,28,10,984,94.99999999
15,30,11,1020,93.5
16,31,12,1015,92
17,31,12,1030,93
18,29,12,1102,94
19,28,13,1135,93.5
20,26,13,1157,93
21,26,13,1097,93.5
22,26,13,1029,94
23,24,13,964,94.5
24,24,13,884,95
1,22,14,847,95.5
2,20,13,783,96
3,21,13,778,96
4,20,13,802,96
5,19,13,886,96
6,18,12,957,96
7,16,12,1006,96
8,15,12,1044,96
9,18,13,1093,96
10,23,15,1041,96
11,27,18,1046,97
12,30,19,1061,98
13,32,21,1041,98
14,33,21,1064,97.99999999
15,34,21,1078,96
16,34,22,987,94
17,34,22,1018,95
18,32,22,1103,96
19,30,21,1195,96
20,27,21,1301,95.99999999
21,26,20,1309,93.5
22,26,21,1151,91
23,23,20,1078,92.5
24,22,19,1009,94
1,20,18,848,92.5
2,20,17,792,90.99999998
3,19,17,788,87
4,18,16,802,83
5,18,16,842,80.99999999
6,20,18,919,79
7,22,19,924,76.99999999
8,22,20,953,74.99999997
9,24,20,1018,69
10,26,22,1036,63
11,28,24,1042,66.00000001
12,29,25,1037,69
13,30,26,1006,70
14,31,26,1019,71.00000002
15,32,27,1024,75
16,32,27,1002,79
17,32,27,1058,78.5
18,31,28,1121,78
19,31,28,1182,76.5
20,32,29,1162,75.00000001
21,32,30,1072,76
22,33,31,963,77
23,34,32,957,77.5
24,34,33,881,78
1,35,34,907,79.5
2,36,35,918,81.00000001
3,35,34,907,83
4,34,31,916,85
5,33,31,921,85.5
6,34,30,962,86
7,34,30,953,86
8,34,30,986,85.99999999
9,36,30,1007,84.5
10,37,30,1045,83
11,38,29,1025,80.99999999
12,39,28,1017,79
13,39,22,998,78
14,40,21,1031,77
15,40,19,1038,76.5
16,39,18,1029,76
17,37,15,1111,76.5
18,35,14,1090,77
19,32,13,1190,83.50000002
20,30,13,1197,90
21,29,13,1138,90
22,28,13,999,90
23,27,13,970,90
24,27,13,1043,90
1,26,11,1020,91.5
2,25,12,971,92.99999997
3,25,12,996,88
4,25,12,961,83
5,24,12,886,82.5
6,24,11,890,82
7,23,11,805,81
8,23,11,991,80
9,24,11,1002,80
10,25,11,949,80
11,28,11,1123,79
12,30,10,1104,78
13,32,11,1087,77.5
14,32,10,1040,76.99999999
15,33,11,1117,75.5
16,33,11,1107,74
17,32,11,1141,73.5
18,32,11,1218,73
19,31,11,1312,70.99999999
20,30,11,1310,69
21,30,11,1206,69
22,29,11,1186,69
23,29,11,1030,71.00000001
24,29,11,980,73
1,28,11,916,74
2,28,11,890,74.99999999
3,28,12,876,73.5
4,28,12,893,72
5,27,13,924,72
6,27,15,941,72
7,27,15,923,73.5
8,26,18,1094,75.00000001
9,25,20,1110,77.5
10,26,22,1177,80
11,26,23,1116,73.99999998
12,27,24,1098,68
13,27,25,1065,65.99999999
14,28,26,1123,64
15,29,28,1079,64.5
16,31,29,1035,65
17,31,30,1167,62.99999999
18,32,30,1163,61
19,32,30,1109,59.5
20,32,30,1225,58
21,32,31,1098,58.5
22,32,31,1015,59
23,31,30,989,60
24,32,30,941,61
1,31,30,916,72.00000003
2,31,30,890,82.99999998
3,31,30,876,79.5
4,31,30,893,76
5,31,30,924,76
6,31,30,941,76
7,32,30,923,77.5
8,32,30,1094,78.99999997
9,32,30,1110,73
10,32,30,1177,67
11,33,31,1116,68.5
12,35,31,1098,70
13,36,31,1065,74.00000001
14,37,31,1123,77.99999999
15,37,29,1079,75.5
16,37,28,1035,73
17,37,25,1167,70.99999999
18,35,24,1163,69
19,34,21,1109,73.50000001
20,32,20,1225,78
21,30,17,1098,77.5
22,28,14,1015,77
23,26,12,989,73.49999999
24,25,11,941,70
1,22,9,747,69.5
2,21,8,744,69
3,20,8,739,69
4,20,8,770,69
5,19,6,803,70
6,17,3,893,71
7,15,2,943,72.5
8,13,-2,1027,73.99999999
9,12,-5,1051,72
10,13,-5,1056,70
11,15,-6,1064,69.5
12,17,-4,1076,69
13,20,-3,1003,75.50000002
14,21,-4,929,81.99999999
15,23,-3,926,80.5
16,24,-2,939,79
17,24,0,1073,71.99999998
18,23,-1,1101,65
19,22,1,1138,62.99999999
20,22,2,1143,61
21,21,3,1076,61.5
22,21,4,943,62
23,21,5,898,63.5
24,22,6,816,65
1,21,5,894,63.5
2,22,6,884,61.99999998
3,22,6,895,58.5
4,21,7,880,55
5,22,7,892,54.5
6,22,7,946,54
7,21,7,964,56.50000001
8,21,7,886,59.00000002
9,22,8,1041,62
10,25,9,1040,65
11,29,11,1055,66.5
12,34,13,1018,68
13,36,15,1030,72.00000001
14,37,16,1030,76
15,38,17,977,76
16,38,18,1006,76
17,38,19,1098,76.5
18,37,20,1125,77
19,37,21,1178,77.5
20,37,22,1180,77.99999999
21,37,23,1111,77
22,37,23,966,76
23,37,23,929,78.00000001
24,37,23,841,80
1,37,23,792,81.5
2,36,23,782,82.99999999
3,36,24,782,82
4,35,24,772,81
5,35,24,757,80
6,34,24,872,79
7,33,24,876,80
8,32,23,893,81
9,33,24,989,81.5
10,36,24,986,82
11,39,24,1004,83
12,41,23,997,84
13,41,22,937,83.5
14,42,21,955,82.99999998
15,43,21,930,79.5
16,42,21,945,76
17,42,20,889,73.49999999
18,41,20,1099,71
19,40,20,1163,66.99999999
20,37,20,1201,63
21,35,20,1127,63
22,34,21,1051,63
23,35,21,951,64
24,34,25,809,65
1,33,24,751,65.5
2,33,23,756,66
3,31,22,791,66
4,30,22,794,66
5,30,21,871,65.5
6,30,21,973,65
7,30,20,1035,64.5
8,29,19,1073,63.99999999
9,30,18,1050,63
10,32,17,1059,62
11,33,17,1066,63.5
12,33,15,1075,65
13,33,15,1033,68.00000001
14,34,14,1127,71.00000002
15,33,12,1077,74
16,33,11,1063,77
17,32,10,1180,79.00000001
18,30,9,1207,81
19,28,8,1213,81.5
20,27,8,1165,82.00000001
21,26,8,1042,83
22,25,7,999,84
23,24,7,936,84.5
24,22,8,834,85
1,21,8,793,86.5
2,21,7,779,88.00000001
3,19,7,754,89
4,18,6,778,90
5,18,6,854,90.5
6,17,7,982,91
7,16,7,1035,90.5
8,16,8,1054,90.00000001
9,18,9,1080,91
10,21,9,1024,92
11,23,10,1029,93
12,25,11,1007,94
13,28,13,972,91.99999999
14,30,13,971,89.99999997
15,32,13,969,85
16,33,14,974,80
17,33,15,1060,76.49999999
18,32,15,1145,73
19,31,16,1246,71.5
20,31,16,1213,69.99999999
21,31,16,1085,69
22,30,17,952,68
23,29,18,899,63.99999999
24,28,18,810,60
1,27,17,777,59.5
2,28,18,765,59
3,29,18,767,59.5
4,27,19,798,60
5,28,18,854,61
6,27,19,1024,62
7,28,19,1078,61
8,28,19,989,60.00000001
9,30,20,1134,62
10,32,20,1195,64
11,34,20,1150,66.50000001
12,35,19,1251,69
13,36,19,1055,72.50000001
14,37,19,1025,76.00000001
15,38,18,988,77.5
16,39,18,984,79
17,38,18,1032,78.5
18,38,18,1156,78
19,37,18,1164,78
20,35,18,1269,78.00000001
21,34,18,1198,79
22,34,18,970,80
23,34,18,931,81
24,33,18,844,82
1,32,18,772,82.5
2,32,18,751,83.00000001
3,32,19,764,85
4,31,18,780,87
5,32,18,834,87.5
6,31,18,886,88
7,31,18,928,88
8,30,18,961,88.00000001
9,31,18,1002,89
10,33,18,989,90
11,35,19,959,90
12,36,18,941,90
13,37,18,936,87.49999999
14,39,19,923,84.99999999
15,38,18,955,83
16,39,18,954,81
17,38,19,1041,77.49999999
18,36,18,1092,74
19,35,18,1057,73.5
20,34,18,1025,72.99999999
21,32,17,878,70.5
22,32,17,833,68
23,29,17,812,69
24,28,16,784,70
1,27,16,765,70
2,27,15,731,69.99999999
3,26,15,748,68.5
4,25,15,734,67
5,24,14,724,67
6,23,11,710,67
7,20,7,737,66.5
8,16,3,758,66.00000002
9,14,-1,669,70
10,14,-6,716,74
11,14,-10,731,72.5
12,15,-11,743,71
13,16,-11,746,73.50000001
14,17,-12,742,76.00000001
15,19,-11,777,77
16,19,-12,801,78
17,19,-11,950,81.50000001
18,18,-12,982,85
19,16,-11,1012,85.5
20,16,-11,898,86
21,14,-11,880,86.5
22,12,-10,795,87
23,11,-10,755,88.5
24,10,-9,695,90
1,10,-9,551,90.5
2,9,-9,589,91
3,8,-8,603,91.5
4,8,-9,588,92
5,8,-9,621,91.5
6,8,-10,622,91
7,7,-9,728,91
8,7,-10,945,90.99999997
9,9,-9,960,86
10,13,-8,972,81
11,17,-8,952,81.5
12,19,-6,975,82
13,22,-5,934,81
14,24,-4,907,79.99999999
15,26,-4,948,79
16,26,-3,930,78
17,27,-3,1109,76.5
18,26,-3,1158,75
19,23,-2,1239,74
20,22,-2,1276,72.99999999
21,21,-3,1217,71
22,20,-2,1129,69
23,18,-1,966,70.5
24,17,-1,864,72
1,16,-2,825,74.50000001
2,14,-2,797,76.99999999
3,13,-2,883,76
4,12,-2,857,75
